"S00026234"	"S00026235"	"S00026236"	"S00026237"	"S00026238"	"S00026239"	"S00026240"	"S00026241"	"S00026242"	"S00026243"	"S00026244"	"S00026245"	"S00026246"	"S00026247"	"S00026248"	"S00026249"	"S00026250"	"S00026251"	"S00026252"	"S00026253"	"S00026254"	"S00026255"	"S00026256"	"S00026257"	"S00026258"	"S00026259"	"S00026260"	"S00026261"	"S00026262"	"S00026263"	"S00026264"	"S00026265"	"S00026266"
"ME203453"	NA	13077	14448	18494	NA	NA	NA	NA	NA	NA	NA	7940	NA	NA	NA	NA	8444	NA	NA	1375	NA	5521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203454"	44604	67070	1119812	41080	44041	1846332	50754	1293973	35260	45756	35056	42508	39713	43322	42508	143788	30157	12078	919559	46575	45919	43733	30157	41921	760390	32432	44604	33987	28630	27610	117166	33413	27282
"ME203455"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8349	NA	NA	NA	NA	3073	NA	NA	NA	2500	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203456"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9947	8686	NA	5532	25765	NA	NA	NA	23121	67635	14662	NA	22306	8884	NA	8035	9458	NA	NA	10045	14219	NA	NA
"ME203457"	22842	6434	9054	14431	31522	NA	17422	15144	22260	16544	23996	31207	NA	12422	10853	11445	34115	NA	13112	12395	NA	NA	6349	35937	35436	NA	NA	12699	7669	9782	4525	17375	NA
"ME203458"	NA	NA	NA	NA	NA	NA	24140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203459"	3324282	4416485	3459511	4854598	4739594	3142288	5095925	3739344	1788272	3029342	3572659	3375463	1549340	1462049	4284804	1088307	2993037	55803	2884284	3017032	3005202	2577814	1888955	3017827	4327473	4684093	2748659	2663105	1155485	1429801	2614754	2845456	3397087
"ME203460"	NA	NA	NA	NA	NA	NA	4493	18465	NA	NA	NA	NA	NA	NA	NA	NA	1508	NA	NA	3820	NA	NA	NA	16580	NA	NA	NA	NA	NA	NA	NA	1291	NA
"ME203461"	NA	NA	NA	NA	37918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7136	23320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9150	NA	NA	6063	6105	NA
"ME203463"	4473	13425	3223	12021	4436	NA	18130	15766	36918	37495	11279	34417	30558	22387	29192	NA	20201	NA	24891	NA	42084	14924	35648	41161	4328	10158	22462	28510	35338	16941	36898	18581	18625
"ME203464"	56738	115464	72743	115236	95534	140625	102165	74347	35517	49362	84736	94471	28268	20480	42655	25237	43685	NA	53154	56289	38663	46284	42803	66721	121153	59240	29798	58763	21326	25484	83981	41989	56747
"ME203465"	22968	NA	17342	27025	22571	NA	NA	19102	20471	32648	22270	NA	17359	13234	17161	17169	28061	NA	13033	60985	13247	24944	16386	20916	45650	20756	44680	24107	NA	NA	NA	18891	63249
"ME203462"	3439	1383	2431	4058	3857	3452	NA	2156	4847	NA	6092	5039	NA	NA	2778	NA	6424	NA	2698	4427	3048	7506	NA	3949	4074	NA	3215	7135	5314	6025	4577	10106	17894
"ME203466"	446715	NA	441652	544363	787619	NA	413684	697558	545682	406389	473904	470461	776709	348843	468425	471669	1009773	116180	731924	643676	381176	488289	617847	751967	1332496	465446	616165	547772	408898	337386	416302	807218	573412
"ME203467"	NA	NA	49902	NA	NA	3505	3895	3091	5208	NA	4889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34005	36673	NA	NA	NA	NA	NA	NA	NA	NA	3137	20131
"ME203468"	NA	NA	NA	1416	NA	NA	NA	NA	1131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203469"	224304	161875	175358	190685	132280	249758	288595	469002	723709	346946	348455	441408	694983	427882	849183	912559	623799	66878	933421	1707253	2315277	2247282	388011	1247477	2176676	2183143	1757252	1526899	1017839	1122325	552311	446198	2008589
"ME203470"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1291	NA	NA	NA	NA	NA	NA	NA	NA	NA	1592
"ME203471"	NA	NA	NA	NA	13380	NA	NA	13951	29519	NA	123116	54896	169124	19786	145901	39302	63894	43049	125103	33836	NA	NA	240050	58697	NA	NA	NA	37938	NA	NA	35520	NA	43222
"ME203472"	NA	NA	NA	11209	6167	NA	NA	8831	NA	NA	NA	NA	NA	NA	4352	NA	6056	NA	3519	NA	3955	5862	4249	6209	6200	5043	9106	NA	NA	NA	NA	NA	NA
"ME203473"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203474"	NA	335099	486880	462500	395607	683808	331386	325886	298965	NA	297792	234437	100864	NA	273753	212266	374730	7442	181407	534907	377679	612706	NA	157642	332030	364492	284554	429715	151258	NA	NA	150011	88965
"ME203475"	126241	88810	88668	224007	169845	45507	219550	153795	45784	106358	229074	25226	22484	78996	88773	119736	128268	53506	57142	75237	92133	64205	53419	71084	87334	105825	130960	91384	55093	57974	77843	212635	31678
"ME203476"	3653759	4597777	1905368	2494889	3133718	2571500	2345639	1419994	1137841	809587	1513377	806074	751915	814682	1088140	1860906	1323040	139451	1036398	1407524	795632	1123668	798204	1271148	1872128	816154	1663392	1073368	1218981	1408065	876494	2670617	405371
"ME203477"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203478"	13064	18538	NA	NA	NA	NA	NA	8224	NA	NA	NA	NA	NA	NA	NA	NA	13426	NA	NA	NA	NA	NA	NA	NA	12022	NA	NA	NA	NA	NA	NA	NA	NA
"ME203479"	91416	187148	104514	348331	327822	27069	502280	348845	36623	312516	608796	17641	16629	146943	44951	85105	163634	48730	27721	125971	227668	70207	23979	34121	154722	162097	187976	122270	47860	60289	144681	646619	54097
"ME203480"	NA	NA	NA	NA	NA	NA	NA	4103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203481"	16563	9887	15929	44424	45672	13750	32931	14935	26490	66540	40138	7560	NA	NA	20511	10572	28167	8060	11053	49685	NA	29481	13916	18015	79377	15850	31799	28516	19990	25292	35384	25917	135669
"ME203482"	NA	NA	NA	NA	3586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203483"	NA	4518	NA	NA	2249	NA	NA	5121	NA	6612	7295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2314	NA	NA	NA	NA	9875	NA	NA	NA	4348
"ME203484"	NA	NA	9805	8654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203485"	6045	3885	6841	NA	NA	NA	NA	NA	NA	4993	NA	NA	NA	3053	3997	NA	NA	NA	NA	10713	NA	4159	4418	4135	NA	7118	3270	6223	NA	NA	NA	NA	NA
"ME203486"	376027	356459	248679	419981	496296	110967	459255	209985	140543	87893	368359	90668	41236	115026	162929	195281	306644	41477	108802	113521	98683	103856	275616	262070	151114	195172	219846	219080	99009	115626	94338	375249	120762
"ME203487"	NA	NA	17676	NA	NA	54168	22381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17980
"ME203488"	NA	NA	NA	NA	NA	NA	NA	NA	16917	92771	NA	NA	NA	NA	NA	NA	NA	NA	NA	76977	NA	22449	24242	NA	153433	NA	55893	NA	46347	47150	41855	5315	218397
"ME203489"	4208384	2836210	4483788	5065725	5850009	9388495	4852057	4883214	268974	92517	1000649	280333	700945	84563	319183	571520	748810	82208	459484	1091900	204925	1310598	170070	246364	104330	570071	359465	566504	80703	185322	6354	621776	350074
"ME203490"	NA	NA	NA	NA	NA	NA	NA	NA	22462	25782	71146	17900	33947	7878	29676	31592	25066	22326	10644	NA	NA	NA	101425	12544	NA	NA	68899	12362	25735	10178	27313	NA	15466
"ME203491"	NA	NA	NA	NA	NA	16996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203492"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31288	4950	46380	NA	36323	NA	17852	16270	NA	NA	NA	NA	NA	NA	NA	NA	NA	18395	33555	17951	NA	NA	7597
"ME203493"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1846	NA	NA	NA	NA	NA	NA	NA	2040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203494"	2038	NA	NA	2903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203495"	NA	5508	NA	NA	2781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
