"S00026234"	"S00026235"	"S00026236"	"S00026237"	"S00026238"	"S00026239"	"S00026240"	"S00026241"	"S00026242"	"S00026243"	"S00026244"	"S00026245"	"S00026246"	"S00026247"	"S00026248"	"S00026249"	"S00026250"	"S00026251"	"S00026252"	"S00026253"	"S00026254"	"S00026255"	"S00026256"	"S00026257"	"S00026258"	"S00026259"	"S00026260"	"S00026261"	"S00026262"	"S00026263"	"S00026264"	"S00026265"	"S00026266"
"ME203545"	227993	156351	53789	248086	70580	34778	361306	68236	476647	110038	590621	380831	630634	177032	268004	53712	823498	161929	745893	391617	71328	201215	560732	219052	479409	382983	524452	286769	531651	599048	23259	1056491	325372
"ME203546"	NA	NA	NA	NA	NA	NA	NA	3785	NA	NA	NA	7674	NA	NA	NA	NA	3848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203549"	255166	NA	266665	227919	347924	490569	219570	212633	NA	6499	19257	NA	14995	NA	15345	18749	25414	NA	9128	35119	15077	32447	NA	16574	12900	22214	8435	21310	2935	4339	NA	3013	NA
"ME203550"	5865	NA	3072	2179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2231	NA	NA	NA	NA	NA	NA	NA	26542	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006
"ME203547"	1654845	350363	624928	714238	683131	509369	232479	477019	343860	190289	291321	435307	155295	74855	233356	266219	1005470	83541	839116	196547	98558	238578	270571	109358	144935	2006856	278803	2124336	866564	484973	195181	871124	620830
"ME203548"	13600000	13400000	13200000	7713220	7372093	9019340	3099645	5206846	6808084	5692849	5745481	6701052	2921648	718386	5652941	4463438	9825092	395324	6863018	3678260	1402130	5382710	1695403	2276390	4300193	4451859	4083760	6453463	6128804	7918420	1235374	4284070	4401503
"ME203551"	1649469	701693	671397	1660693	1180004	2881535	4873828	1437960	263419	206784	550500	257780	409694	54823	348176	495735	447962	36562	272237	867492	257046	856191	108879	383893	154533	566419	246583	561891	60297	141183	49548	89008	48898
"ME203552"	246522	397951	487345	607807	433201	444350	615148	555754	553103	224069	NA	639369	NA	428797	631479	351881	759749	40072	258622	NA	685769	714165	241931	353541	791342	725776	847802	323034	311349	299148	614168	456780	349944
"ME203553"	62462	70659	34905	47597	26737	NA	49747	19006	38664	30608	24544	22277	NA	NA	5917	NA	95617	NA	24887	27658	NA	29940	NA	17322	58030	27769	120761	39554	402358	611379	NA	91482	NA
"ME203554"	NA	NA	14668	NA	6483	6866	NA	NA	NA	NA	NA	NA	3802	NA	3544	NA	5772	NA	2833	NA	2447	7026	NA	NA	NA	NA	NA	6778	NA	NA	5097	NA	NA
"ME203555"	112217	114003	106425	103316	99816	146000	158071	97621	100683	NA	78994	73866	60332	NA	NA	178485	52335	NA	125136	86055	70386	185313	35646	98060	113301	91132	40146	115411	58640	69353	107865	46300	75275
"ME203562"	156632	133741	150088	152848	154794	138989	168556	108139	141666	165588	156097	163302	71821	74042	164737	150759	142728	110441	149274	150907	149968	157151	158285	134251	145907	141686	157201	160718	161549	158783	159489	144369	145387
"ME203563"	NA	NA	6070	NA	NA	NA	NA	NA	28787	NA	NA	NA	16007	NA	NA	9725	NA	NA	NA	4463	NA	NA	NA	NA	NA	6583	9345	NA	4390	3830	NA	NA	NA
"ME203556"	1984	NA	NA	NA	NA	NA	2092	NA	NA	NA	NA	NA	2876	NA	NA	NA	NA	NA	1370	NA	NA	1666	NA	NA	NA	NA	1249	3054	NA	NA	NA	NA	2111
"ME203564"	238765	424164	267986	400612	739281	236123	462481	424051	96283	398915	376541	308378	39334	185501	496217	115732	453323	28764	475296	44671	578343	1243660	373828	574491	24502	67677	114995	343268	80950	102937	74177	125437	58740
"ME203557"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5957	NA	NA	NA	NA	NA	4681	4455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203565"	24218	55518	39562	74176	114265	14228	33874	69991	55580	54610	40725	10963	22945	27315	69191	44285	192862	5873	42135	11260	19222	43887	56513	142983	1172271	39321	210895	37219	258793	312072	7676	88669	80252
"ME203558"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7334
"ME203559"	18511	15577	23637	20615	19030	17215	22130	19538	28873	20739	15686	22699	22810	13533	13482	13650	26858	3314	18682	26113	14243	20255	38800	18201	23263	20322	20351	21746	14555	15125	20988	16485	28219
"ME203566"	58696	89876	68385	249962	180664	18002	376945	221129	28534	278941	491861	19116	18673	127072	36297	67015	117838	26618	21988	120295	254279	68210	26229	32126	166219	140339	136333	126224	64050	72211	127799	606410	75443
"ME203567"	19400000	19700000	10600000	6393555	11200000	5657026	14800000	4838023	3113132	3698615	7086108	2175028	1674235	2498863	3652503	18800000	5721758	1949717	2769554	6395304	3046956	5892059	5134821	7202740	5952716	4348480	13100000	5278905	7203102	7838891	4357919	9796137	2979169
"ME203560"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26539	NA	NA	NA	NA	NA	NA
"ME203561"	977332	852036	957124	848859	822376	854043	992252	716189	825786	902637	916476	950803	420396	474740	922329	944511	825089	1067588	881168	716370	772964	798927	948131	846788	698312	765334	777024	848825	853240	838559	945587	841034	706310
"ME203568"	2469	1560	2418	5810	4125	4816	3057	4489	NA	NA	NA	NA	3180	NA	NA	NA	NA	NA	1806	2662	NA	3294	NA	2553	NA	NA	NA	NA	NA	NA	NA	2212	3197
"ME203570"	76634	64525	NA	NA	171233	173867	119975	151069	84995	11984	134564	194812	68305	47201	90960	43581	44083	NA	108924	105267	92322	111797	58805	108162	18014	163244	62206	156818	44036	67436	37517	51183	75006
"ME203572"	221909	50636	408721	401682	405728	NA	422320	383992	NA	171310	39895	309395	NA	NA	NA	NA	NA	NA	NA	283961	NA	249598	NA	NA	436815	61824	NA	490442	NA	NA	NA	84508	9648
"ME203571"	79871	64545	145843	137775	152930	173311	118129	149479	NA	NA	136213	192706	NA	NA	90493	NA	43680	NA	12527	11375	NA	110861	NA	74859	38673	169226	NA	150014	NA	NA	NA	14869	27301
"ME203573"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5093	NA	NA	7267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203574"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13981	NA	3844	NA	NA
"ME203575"	NA	5256	150743	NA	NA	NA	93877	2427	7313	NA	10797	NA	NA	NA	17746	155639	NA	12683	NA	37366	8386	NA	9081	6414	NA	7271	7338	13670	15909	13823	4975	NA	13320
"ME203577"	71568	93137	92332	161828	136149	129941	96251	131790	67533	94115	87496	134595	56273	34456	58614	27756	68931	NA	75314	77608	80447	67995	75786	73011	127938	113659	41563	88053	37155	45369	101995	43468	94534
"ME203576"	25086	NA	NA	35498	NA	NA	NA	54388	NA	NA	NA	NA	NA	NA	NA	NA	19855	NA	NA	NA	NA	NA	6611	NA	6780	NA	NA	NA	3501	NA	NA	49416	NA
"ME203578"	42723	31317	36707	36472	72707	25005	72654	23845	81589	40893	44659	74186	37110	58717	31359	87287	64358	NA	48737	59589	39246	67182	37979	44821	45276	48800	67599	30588	28433	30877	41130	38479	55007
"ME203569"	NA	NA	NA	3977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203579"	196211	121442	144480	142093	225181	100258	183656	138273	149704	122111	175246	128069	134323	140251	159772	206121	169828	131325	136026	133863	131589	189697	199286	212752	145581	165418	219606	191631	199895	207048	124839	220828	117019
"ME203580"	31778	15448	17926	20944	17991	9443	17597	15615	11483	9276	15458	6944	NA	7217	9217	26224	15493	8670	9926	9986	8941	8333	19853	39778	26861	19371	12943	21234	35000	38590	12835	40795	11992
"ME203581"	NA	NA	NA	NA	NA	NA	39053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203582"	24793	NA	21572	24385	21130	NA	NA	10643	8026	49102	85754	82574	82332	52848	110647	41167	28514	16676	90960	37980	74275	14355	89815	48379	NA	33175	82556	19201	41453	36866	59113	47745	26764
"ME203585"	59776	NA	NA	NA	15857	63794	134682	90652	25544	NA	27430	NA	9535	18795	23399	68227	15242	NA	23373	110475	63177	32358	27892	NA	NA	NA	43884	31677	NA	NA	NA	23965	NA
"ME203583"	64520	71428	36086	79455	NA	63816	NA	99033	71782	89954	84131	129314	NA	53421	NA	85155	60975	NA	85924	135177	90380	29510	87827	123654	137771	110257	106489	49794	NA	NA	136480	NA	129839
"ME203584"	191651	295576	134271	427385	297334	554174	362302	362518	43867	60303	123010	92230	29203	27105	57178	33210	83460	NA	76432	199401	51296	80104	34459	151713	173721	120887	58917	80564	89666	108008	116356	78625	94403
"ME203586"	NA	12765	1989	1685	1549	NA	3396	NA	NA	4446	7870	9484	5367	7579	10415	NA	2952	1391	9380	NA	4444	4157	14411	2867	NA	3457	1984	1086	4767	NA	NA	NA	1706
"ME203591"	NA	NA	3718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203587"	102389	NA	63598	20297	99266	NA	NA	208931	5627	NA	NA	12645	NA	NA	NA	NA	31949	NA	NA	NA	NA	NA	NA	NA	3557	NA	NA	NA	NA	8038	NA	NA	27162
"ME203588"	NA	NA	NA	38030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203592"	20953	19527	21665	20870	48839	6968	24748	8958	28730	19522	37344	21133	19946	13326	22460	59641	32752	7187	16900	32683	21981	25017	33584	18144	23189	16572	21254	18495	31964	33091	10232	30396	25661
"ME203593"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1969	NA	NA	NA	NA	NA	NA	NA	NA	1185	NA	NA
"ME203589"	2478	2589	NA	NA	NA	NA	NA	1711	NA	NA	NA	NA	NA	NA	5901	NA	NA	NA	NA	13320	NA	NA	NA	2537	NA	NA	NA	NA	2495	NA	NA	NA	NA
"ME203590"	NA	NA	NA	NA	6915	NA	3040	NA	NA	NA	5571	NA	NA	NA	NA	NA	3640	NA	NA	NA	NA	NA	NA	NA	NA	NA	2826	NA	NA	NA	NA	NA	3117
"ME203596"	12700000	9963234	5441682	7724974	13600000	2378643	13900000	3308513	2977529	3705533	8402723	1660679	1249356	1789165	3085926	7432868	6440688	1744073	1981038	5460478	1829256	3940094	4353506	4651841	6122658	4548885	7115069	5578572	6801937	7482015	3608751	9379103	3908289
"ME203597"	NA	NA	NA	167594	250319	NA	347575	208387	310890	134637	448858	165056	NA	94151	196817	NA	358109	NA	98157	145978	NA	178259	484764	269101	172621	231627	280979	370722	NA	NA	222351	442924	NA
"ME203598"	NA	NA	NA	NA	NA	NA	NA	13662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203594"	NA	NA	1693	9276	NA	13491	11693	NA	NA	NA	NA	NA	3962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203599"	NA	NA	NA	NA	25610	NA	NA	NA	42504	14712	19328	39362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35908	21258	42114	NA	8094	20076	12782	NA	NA	38641	134972
"ME203600"	NA	NA	5796	NA	NA	NA	NA	NA	2427	NA	NA	NA	NA	NA	NA	8261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4804	NA	2383	NA	NA	NA	2655
"ME203601"	6629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6256	NA	NA	NA	NA	NA	5907	NA	NA	9696	NA	NA	NA	NA	NA	NA	8828	NA	3865
"ME203595"	24887	NA	30671	23295	26951	NA	NA	37697	36011	NA	22084	18517	39037	4943	25761	19449	7341	3428	45318	45274	23389	31025	40042	35062	38095	15185	34596	30850	9902	6467	NA	37329	10116
"ME203602"	6856	33875	3774	29672	4280	51233	21476	14736	NA	11768	1073	1027803	1233009	NA	11443	NA	1277	NA	6515	7338	8503	1890	NA	958971	15939	17466	NA	1943	NA	NA	2098027	2440	321462
"ME203603"	732676	662517	707852	668101	637655	590825	671703	697203	831763	808021	780266	822587	845802	891764	831081	813039	804355	1053875	829475	745103	766252	778998	837013	776298	775195	760947	863168	786290	827342	795783	853695	788746	810473
"ME203604"	NA	NA	NA	5119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2794	NA	NA	NA	NA	3453	NA	NA	NA	NA	NA	NA	NA
"ME203605"	2334213	983353	1093593	1544673	2340440	748875	2501432	1108082	1228526	1429250	1975398	808307	698038	737767	1443646	1821922	1846371	1187564	951189	1871074	902367	1646500	1525415	1424643	1901304	1481716	1785047	1787441	2407796	2528950	1173621	2775528	1455389
"ME203606"	291206	172992	184377	202577	253343	83533	215830	145339	326386	145128	294969	114760	92612	100546	151274	278220	238385	151583	169313	204015	114073	354089	740453	450524	308086	246381	335999	337673	426691	458220	149641	437337	171320
"ME203607"	96854	109907	69060	107770	89937	139225	131190	140874	45294	38563	56933	73613	31193	25851	52536	26034	105858	NA	42389	60174	31629	48465	29724	54687	63027	92007	38776	51338	33410	41323	35713	58124	88537
"ME203608"	806277	971294	456760	732770	846224	637682	592523	617448	419486	343976	501113	638380	286097	257370	470088	234789	527257	18322	414343	318042	278198	406284	266285	444894	516255	796427	329454	464552	292166	378774	318400	488187	723853
"ME203609"	1695201	1414833	1944078	2133921	2586120	2691411	2156673	2271523	1055729	1431940	1813047	1296011	718061	714682	1223752	930479	1694278	68847	1269408	1429574	1583378	1391608	1165203	2522495	1843071	2045047	1224161	1502227	2836401	3383433	1373953	2426859	1441180
"ME203610"	11702	42916	14142	66687	41780	27624	42597	47975	NA	NA	27637	11436	NA	NA	68497	NA	12030	NA	NA	NA	22710	NA	12137	43708	7137	57124	7780	15176	NA	NA	9484	20558	NA
"ME203611"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8589	NA	NA	5192	NA	NA	NA	NA	NA	9332	NA	NA	NA	NA	10362	19003	NA	NA	NA	NA	NA	NA
"ME203612"	23372	22995	29749	22245	43040	14778	26723	16365	11602	9399	20738	8753	5615	NA	12251	15255	13091	10018	8389	6355	11579	7805	14465	14564	7000	12696	13176	13215	5534	6469	5035	28045	5636
"ME203613"	NA	NA	NA	NA	NA	1980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203614"	NA	NA	87849	50389	27026	64479	6360	NA	NA	NA	NA	15443	NA	NA	NA	10931	16123	NA	NA	NA	NA	NA	NA	12110	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203615"	NA	NA	34594	NA	NA	NA	138559	NA	NA	NA	10797	NA	NA	NA	16323	156879	NA	12683	NA	37366	8225	NA	9081	6414	NA	NA	49749	13321	15909	13823	5019	NA	13320
"ME203616"	NA	NA	NA	NA	NA	NA	NA	NA	1097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203617"	NA	NA	NA	NA	NA	NA	NA	3637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10629	NA	NA	NA	NA	NA	NA	NA	NA
"ME203618"	NA	NA	NA	NA	NA	NA	NA	2237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4171	NA	NA	NA	NA	NA	NA	NA	NA
"ME203619"	NA	NA	NA	NA	NA	5755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5301
"ME203620"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203621"	NA	NA	NA	58182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203622"	NA	NA	NA	NA	NA	NA	1394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203623"	18578	NA	18526	18204	1705	NA	NA	15975	33874	87412	31699	81602	61387	83707	95094	NA	17798	NA	43583	43546	65744	70386	77035	74580	13021	21503	57528	62549	NA	NA	84460	14866	8040
"ME203624"	NA	NA	555030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11991	NA	60437	NA	NA	98910	25727	224569	NA	NA	NA	NA	21674	NA	NA	NA	NA	NA	NA
"ME203625"	11510	2315	7333	74821	45504	NA	11389	32784	343371	10384	13155	8834	8761	23112	30864	10872	109849	4448	21305	13106	7010	7178	15566	26079	25112	18514	23890	19624	4406	6345	10322	17119	32520
"ME203626"	24160	26689	31046	76088	152815	3883	19392	93500	71724	30264	79730	54305	168627	54233	128001	226648	675514	22038	240165	6260	22520	53172	104016	167710	872060	121075	396389	44574	291193	289212	11521	279866	53943
"ME203627"	NA	NA	30871	28371	29316	24274	33512	51479	55666	NA	92137	NA	50327	40667	69869	NA	66287	NA	18775	174591	NA	NA	73200	117920	NA	100895	38571	NA	34267	43288	NA	60424	NA
"ME203628"	28479	NA	NA	12396	NA	NA	41085	6761	13848	24851	82464	45364	46809	41112	53814	13631	71876	40228	55185	28090	23105	13330	64998	7373	17826	12278	55253	18527	48549	34157	12655	NA	NA
"ME203629"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34725	35257	NA	NA	15484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203630"	NA	NA	NA	5491	NA	5311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203631"	53850	163669	34581	33245	16494	36279	48176	40644	NA	NA	18160	NA	NA	NA	NA	13608	17593	NA	NA	10175	NA	NA	NA	NA	NA	5135	17937	NA	NA	NA	10096	NA	NA
"ME203632"	2148	2303	2465	NA	NA	1115	NA	1827	4999	NA	2169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6164	NA	3141	2130	NA	NA	2521	NA	3228	NA	NA
"ME203633"	NA	4749	NA	NA	NA	NA	NA	NA	7256	NA	NA	NA	NA	NA	NA	NA	NA	NA	2413	NA	1406	NA	NA	NA	NA	NA	NA	NA	7403	2791	NA	8468	3321
"ME203634"	11784	20000	8926	39019	25148	1826	10295	97482	20827	4808	3943	2553	2082	2231	2791	NA	31857	NA	5423	3002	1580	3053	NA	8276	37613	3316	2052	4131	3120	4802	1271	5087	3714
"ME203635"	2008754	1526696	1348369	1496733	2496377	1554642	1785633	1104378	1022981	850623	1547496	720086	636997	724687	1188345	1159036	1504379	824290	807263	1261520	754491	984893	893832	1193846	1213166	1002262	1845917	1430077	1075941	1221212	828183	2371351	811515
"ME203636"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203637"	272756	496986	565088	580377	669581	616020	430475	471840	473515	968338	411620	1253866	543886	532808	455073	137079	663923	98225	667568	356303	490807	518699	564370	691176	1392738	1607074	422805	727986	547216	447855	1844467	184503	659740
"ME203638"	145638	39735	53598	525026	91004	NA	132449	315205	354859	116981	178949	953001	111525	211092	181074	62183	264249	126192	274078	118570	77190	55473	205158	169451	127058	71697	221868	109533	83276	102072	2846	189425	20927
"ME203639"	8920	7549	10454	8810	NA	NA	6782	6487	NA	4235	NA	NA	3484	7830	NA	NA	NA	26487	3829	9285	NA	NA	61219	NA	10457	NA	12470	3051	NA	NA	6731	4584	NA
"ME203640"	NA	115509	115089	135935	248138	62259	157174	220644	52483	170375	123211	99703	63703	76624	150233	69092	75560	NA	113171	117085	544344	539563	147983	160286	NA	114097	116658	80457	266839	332946	48916	308859	12690
"ME203641"	NA	8916	NA	NA	NA	NA	236957	138835	NA	NA	NA	NA	NA	NA	NA	NA	147092	NA	NA	4871	NA	221479	NA	NA	NA	NA	457316	55699	NA	NA	12592	NA	NA
"ME203642"	32760	40796	45790	47985	72851	72637	27134	31182	49096	32224	51257	48279	37013	21398	56012	NA	106507	NA	51045	24152	32267	35595	38548	63215	64212	86345	32049	52619	35666	45024	65187	56698	49660
"ME203643"	13996	23887	22950	29313	26009	23607	15767	17083	10589	13148	16381	9946	14492	6514	13844	NA	21732	NA	12941	15768	7890	13268	NA	15054	22552	21790	10520	11743	8464	10616	16158	12130	14388
"ME203644"	93366	429400	324927	379330	272938	773621	405633	158076	NA	50286	NA	NA	18864	14489	NA	NA	NA	NA	NA	76293	NA	87270	9345	14067	110750	91886	NA	108095	NA	62267	32634	NA	281685
"ME203645"	NA	18125	17775	7844	41729	NA	11512	22819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2474	21255
"ME203646"	NA	NA	NA	NA	41765	NA	NA	NA	NA	14364	4572	NA	4551	NA	2104	NA	NA	NA	5742	NA	NA	NA	NA	NA	NA	NA	NA	NA	100421	46936	NA	NA	NA
"ME203647"	13089	7893	8535	9756	9964	3136	12907	8974	5833	13864	20660	4647	4157	10113	8741	1969	16619	3396	4680	9027	9476	7439	8092	7291	11404	10344	26228	8801	5705	6421	6517	20832	5721
"ME203648"	12972	9767	12823	28379	38874	5191	13812	28289	10229	7739	18540	4672	4878	20791	19551	10747	22764	4372	16415	9810	11304	18110	25775	51367	15293	6298	8282	17574	22697	20550	15496	32972	16392
"ME203649"	NA	1473675	1313599	1412936	1612972	NA	1117710	796137	NA	NA	NA	NA	213843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	715517	NA	NA	NA	NA	NA	NA	NA
"ME203650"	5358763	7813812	7467598	7693827	8192467	4758512	6873108	5221055	2909943	3794086	5250562	3515876	2249568	2124305	3880592	2041128	4875728	1083249	3519213	3222863	3548139	2831317	3271310	3913905	2820002	4887453	3427922	3933351	2234448	2637286	2690218	4661481	2852582
"ME203651"	451127	744423	706741	774223	809067	540408	1069827	1116360	635579	801738	1207791	656754	527085	542037	656262	522519	753508	98825	387268	667826	451409	730789	202675	677990	530305	857498	821084	1326993	430184	472393	631092	622172	726032
"ME203652"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36541
"ME203653"	NA	NA	12115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203654"	NA	NA	NA	NA	NA	NA	2220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203655"	209811	89391	117933	169805	112792	275392	362403	382663	291998	NA	231620	927741	277705	NA	121431	57446	130105	NA	462926	NA	403205	71324	233774	248076	NA	520196	NA	339539	NA	NA	40638	431860	NA
"ME203658"	41021	47149	9296	20602	125370	65542	33907	25370	NA	16748	NA	3421	NA	2246	3113	18891	NA	NA	NA	9792	NA	2860	NA	11126	5970	6265	NA	NA	NA	NA	3377	NA	5104
"ME203656"	878144	1283000	1175172	1306970	1221079	772145	1191969	1355626	553033	955957	910749	1163969	818075	450140	825963	344098	667423	28544	1147598	698987	471966	898458	504563	1350419	1250556	1135620	560945	681384	457930	606741	1479730	1044619	618168
"ME203657"	95733	157496	134196	192955	226817	91409	101132	105236	123657	135472	112904	160245	114621	117209	206446	79948	177345	19374	191304	111870	68143	180036	136447	149754	197282	89809	97352	100897	90428	122679	276068	152357	93338
"ME203659"	27148	8227	13561	59865	93773	NA	28347	81215	NA	NA	14779	NA	NA	NA	26316	52441	47920	NA	122639	82270	8498	NA	72171	49317	100463	10961	101030	32600	11362	6624	NA	91345	NA
"ME203660"	4473	28447	26602	26965	28451	21651	23778	15505	10868	NA	NA	34459	NA	22387	4174	NA	12410	NA	NA	NA	NA	6586	NA	7669	4324	NA	NA	14578	NA	7939	NA	6151	18625
"ME203661"	960605	1112370	699217	751951	532467	428132	1139502	799557	737823	291982	623540	326085	211709	66111	285296	309267	1125571	32806	640591	1106539	374230	425505	406225	277166	974198	372674	174402	1052674	193117	423458	341811	1205185	323074
"ME203662"	9159	18555	10422	19196	15807	21904	26160	15487	10506	7137	9261	24016	19618	NA	17182	3260	13473	NA	34823	17339	10317	14451	49778	26130	22655	15859	53851	4793	NA	5743	NA	10623	8479
"ME203663"	NA	NA	NA	25609	NA	NA	NA	7628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28555	18905	NA	NA	NA	NA	NA	NA	NA	NA
"ME203664"	25800	7980	11292	4705	12228	103272	24354	27771	212197	118808	101442	121777	191102	227212	209000	200153	93245	232984	227572	78602	231830	186970	229283	186232	135790	149390	194165	153097	235532	217551	231087	223675	160728
"ME203665"	37268	28293	27465	20210	27651	58642	31408	33415	103680	70035	63038	68277	102229	116587	95337	99589	55460	131921	114811	57283	112761	89030	113215	90894	72919	75628	94975	78854	109921	106841	109860	107308	78413
