"S00026234"	"S00026235"	"S00026236"	"S00026237"	"S00026238"	"S00026239"	"S00026240"	"S00026241"	"S00026242"	"S00026243"	"S00026244"	"S00026245"	"S00026246"	"S00026247"	"S00026248"	"S00026249"	"S00026250"	"S00026251"	"S00026252"	"S00026253"	"S00026254"	"S00026255"	"S00026256"	"S00026257"	"S00026258"	"S00026259"	"S00026260"	"S00026261"	"S00026262"	"S00026263"	"S00026264"	"S00026265"	"S00026266"
"ME203700"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71043	NA
"ME203701"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203702"	NA	NA	NA	NA	NA	29531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203703"	6992	NA	1315	1677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203704"	1014597	NA	NA	NA	1908199	NA	NA	NA	803344	2930844	1674152	1307377	NA	1076088	1262172	NA	1142673	707066	254063	276182	NA	NA	NA	NA	1421065	1136508	NA	1261431	304149	NA	NA	NA	462179
"ME203705"	NA	NA	NA	NA	NA	NA	NA	NA	12194	NA	NA	NA	NA	NA	27899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5453	NA	NA	NA	NA
"ME203706"	1577797	1107953	1229249	1758149	1242573	1626086	1747008	1758518	1506161	1996500	2045422	2109078	2146396	1648873	2164799	1817532	1331444	819100	1756916	1897419	2185819	1757792	1904249	2067729	1702569	2079062	1467379	1994118	2040719	1974129	1771002	1524955	1777089
"ME203707"	3309	NA	NA	6931	8251	10773	NA	NA	NA	NA	4379	NA	NA	1470	6535	NA	2526	NA	6012	NA	5291	4771	NA	NA	5069	NA	2373	NA	NA	NA	NA	NA	3910
"ME203708"	NA	9957	NA	45681	NA	42649	11152	NA	NA	NA	NA	NA	58028	NA	3403	NA	NA	NA	NA	30587	12108	NA	NA	162010	NA	8705	2633	NA	31824	31610	NA	NA	42728
"ME203709"	NA	NA	NA	NA	5115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203710"	NA	NA	1147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203711"	74903	63921	73050	95317	101164	110168	85216	56615	170697	NA	73310	49510	51542	6145	47773	22346	149462	4357	84197	NA	52015	211562	57138	70438	28567	30827	21861	75748	NA	38419	40152	59756	NA
"ME203712"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2178	NA	NA	NA	NA	NA	NA
"ME203713"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203714"	31284	52216	32156	NA	13290	NA	55859	NA	NA	31840	15711	13375	35977	16657	NA	NA	74374	NA	NA	38651	NA	NA	NA	NA	NA	50847	13370	NA	NA	NA	NA	NA	98416
"ME203715"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13161	NA	NA	NA	NA	NA	NA	NA	15367	18269	NA	NA	NA
"ME203716"	NA	NA	NA	NA	NA	10447	NA	NA	NA	NA	NA	20094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203717"	NA	NA	NA	32945	31781	NA	NA	30688	15437	NA	38352	45706	NA	22950	24710	15216	NA	NA	22011	51523	NA	NA	14541	35380	NA	NA	38991	NA	NA	NA	20200	15868	NA
"ME203718"	1293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203719"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18384
"ME203720"	3037	1456	8046	NA	NA	3236	9272	NA	NA	NA	10183	3203	NA	1391	6544	2303	6561	NA	3308	NA	2498	6171	NA	5232	17359	3530	NA	6809	5825	NA	7628	5729	28105
"ME203721"	21496	6337	4463	45010	32128	NA	15993	40330	304544	40361	20768	NA	NA	5819	6827	10168	30202	NA	NA	24342	10801	9565	NA	10574	72737	17976	27794	19088	40296	50213	25394	13499	57118
"ME203722"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1355	NA	NA	NA	NA	NA	NA	NA
"ME203723"	5811	NA	12873	NA	10004	NA	NA	NA	NA	16023	NA	25066	NA	NA	7299	7737	9598	NA	13841	16007	NA	NA	NA	NA	18354	NA	NA	NA	NA	NA	NA	NA	NA
"ME203724"	NA	4565	NA	6466	50574	NA	30811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7411	NA	NA	NA	NA	NA	NA	NA	NA	NA	6745	NA
"ME203726"	NA	NA	NA	NA	NA	NA	NA	7364	NA	NA	NA	NA	NA	11149	NA	NA	NA	1633	NA	NA	NA	NA	NA	NA	27424	NA	NA	NA	NA	NA	NA	NA	NA
"ME203727"	2917817	NA	NA	586756	2463967	4330	13474	NA	67801	2955043	2925432	135489	2624555	230085	2781976	1166047	13026	237110	3298772	2137548	1544158	1288172	2201111	3052817	2249905	3777618	2790329	3927646	2712156	4224373	2454494	2557414	3032331
"ME203728"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203729"	NA	NA	52333	NA	64292	64978	NA	66963	64400	100033	68199	NA	43149	32624	46159	NA	90201	NA	39639	154947	30106	62172	48574	92334	162942	58566	143381	71546	95118	103912	97435	55506	194949
"ME203725"	66378	71159	67099	67093	57161	77632	83508	66819	50023	34513	62147	47971	32504	20812	28977	36414	66541	NA	38121	59665	39139	70120	54611	49887	49933	51368	41851	71317	47073	56009	42124	90949	NA
"ME203730"	412872	305182	389469	330321	212676	NA	347598	415478	285204	451876	265632	129182	407072	337788	399924	457571	766914	236684	544077	543731	413697	441255	529695	267960	511134	453380	322849	466592	397102	457790	525245	239692	534908
"ME203731"	74454	46216	105901	43773	24352	47479	53130	70278	57716	22922	105806	80944	55104	24328	103755	19329	145634	9823	54175	NA	36083	29591	36907	50826	NA	135006	55046	62148	NA	22687	NA	NA	NA
"ME203732"	NA	NA	NA	NA	1808	NA	NA	NA	14337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1541
"ME203733"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8084	NA	NA	NA	5128	NA	NA	8161	NA	NA	NA	NA	5226	NA	NA	NA	NA	NA	NA	NA	NA
"ME203734"	NA	NA	1336	NA	NA	7244	NA	3995	2021	NA	9387	NA	29495	NA	3523	NA	12859	NA	9774	22045	16533	7297	NA	11359	12372	NA	NA	NA	NA	1802	3241	NA	NA
"ME203735"	NA	NA	NA	NA	NA	1045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203736"	2657	NA	NA	NA	2782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1413	NA	NA	NA	NA	NA	NA	NA
"ME203737"	172969	423911	228400	217999	208273	NA	231512	628351	717684	820248	595894	1076741	1016886	920350	305614	408991	148082	99410	1620880	333900	1095551	566992	1036754	500667	850957	895671	717276	113342	299505	231715	902943	163626	319101
"ME203738"	NA	NA	NA	NA	8922	NA	NA	NA	NA	NA	NA	NA	NA	NA	4426	NA	NA	NA	NA	NA	NA	NA	NA	10798	NA	14903	5979	NA	NA	NA	NA	NA	13463
"ME203739"	NA	6372	47336	NA	NA	5722	6337	NA	NA	NA	7098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40669	44732	NA	NA	NA	NA	NA	NA	NA	NA	NA	119517
"ME203740"	43482	39361	41474	38301	NA	37778	45596	33887	51435	46142	45523	44274	39300	35531	53823	64750	46312	NA	62619	72530	83563	89674	54157	67242	88192	78727	76696	61586	62159	58939	55701	41212	68764
"ME203741"	196599	167647	152551	109315	73110	159051	149215	154570	135178	63320	52712	NA	170856	91885	154083	232772	159992	15621	186656	419421	468321	548137	NA	260412	499564	382980	355672	350380	239373	250832	113609	NA	413688
"ME203742"	1334	NA	NA	2601	NA	NA	NA	NA	1668	NA	1141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1576
"ME203743"	NA	NA	NA	109093	78766	NA	NA	46474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71043	NA
"ME203744"	11407	10011	5395	4394	NA	4175	10096	5915	NA	3272	NA	NA	NA	NA	NA	NA	2480	NA	NA	4535	NA	1494	NA	NA	NA	12218	NA	NA	NA	NA	NA	NA	4121
"ME203745"	NA	NA	NA	NA	NA	17532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203746"	13333	23521	3189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203747"	12381	8631	8941	NA	19123	12744	27295	NA	10316	12979	NA	10394	NA	8923	NA	NA	28409	4155	9614	57254	14207	17268	11777	15305	20444	21778	21476	19450	NA	NA	18697	10234	41554
"ME203748"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203749"	NA	NA	NA	NA	NA	NA	5639	NA	NA	NA	3780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4134	NA	5222	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203750"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1016	NA
"ME203751"	NA	NA	NA	NA	102665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203752"	69277	78025	96194	78335	40189	68922	59574	75401	9955	NA	11447	35867	86259	29304	44063	10139	18869	NA	54231	NA	60287	9090	9528	48848	NA	43356	NA	25767	NA	NA	NA	21866	NA
"ME203753"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203754"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1513	NA	NA	NA	NA	5053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203755"	NA	32676	NA	NA	30441	NA	NA	NA	21178	18576	18928	36975	NA	7151	24377	NA	23561	NA	18347	NA	29520	NA	NA	NA	45608	NA	17034	18248	27843	37400	27236	33470	15044
"ME203756"	NA	NA	NA	NA	13303	NA	12140	NA	NA	NA	NA	NA	3272	14241	NA	NA	NA	NA	5217	NA	24668	NA	NA	NA	6784	NA	NA	NA	15525	NA	29544	52200	NA
"ME203757"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1007	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203758"	NA	NA	NA	NA	NA	2058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203759"	NA	2344	NA	NA	1637	5058	NA	NA	NA	NA	NA	NA	NA	NA	2057	NA	NA	NA	2972	NA	NA	NA	NA	NA	NA	NA	3659	NA	1795	NA	NA	NA	NA
"ME203760"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203761"	9160	NA	NA	NA	NA	NA	NA	NA	7555	22529	7734	NA	4214	NA	NA	5053	10474	NA	NA	244489	NA	28747	12229	NA	63062	NA	47904	20963	245421	242788	79731	24488	246259
"ME203762"	2827081	2215961	3194957	1776704	4281942	2149789	3520354	1016225	2312543	242603	4350129	2885038	3188129	809189	3473727	4776561	4868322	1806010	2878892	783834	568756	2436917	5486006	3973486	550131	3204653	1168897	3475111	265790	362075	603902	6880088	187978
"ME203763"	362676	297811	370626	544184	407967	374190	1001008	289450	1315270	NA	428172	368472	1509426	160760	366194	579139	587070	139043	564213	NA	264404	373271	374652	647911	NA	404291	NA	645662	NA	NA	NA	629695	NA
"ME203764"	NA	1016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203765"	3485	8203	19280	20883	NA	106879	16083	33093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203766"	NA	NA	4890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203767"	6915	NA	2999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203768"	11633	6945	5039	NA	NA	1437	NA	1335	NA	NA	NA	NA	NA	NA	NA	6844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1772	NA	NA	NA	NA	NA	NA
"ME203769"	19607	20318	63947	84359	32041	22144	25788	25816	14885	NA	86916	37324	132305	NA	35262	11445	113773	NA	37463	130018	NA	40808	101731	86312	100773	NA	NA	NA	NA	5761	NA	NA	15504
"ME203770"	15759	17130	49514	66642	24759	19115	18691	25610	11287	7769	66275	27257	101925	4914	24755	10212	93812	NA	26601	94040	NA	32937	72397	65806	77031	5534	11379	6233	NA	6288	5750	6469	12863
"ME203771"	3177	NA	2024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203772"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203773"	NA	NA	NA	NA	NA	6907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203774"	15920	9641	3642	4626	33522	13152	9959	3535	31018	53186	163378	43280	19211	81549	6834	97883	6711	102728	22552	3881	18777	8185	5858	1357	197227	14488	190554	17825	37774	232260	30281	4977	4247
"ME203775"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1072	3250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1668	2780	5478
"ME203776"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4083	6419	NA	NA	NA	NA	NA	NA	NA	NA
"ME203778"	NA	41081	34990	NA	NA	44082	14541	64726	NA	NA	NA	6440	NA	NA	NA	NA	52029	67648	91954	17978	121050	165265	28974	NA	195405	NA	17515	96016	26991	110993	NA	NA	145162
"ME203777"	816877	683100	734095	742768	781488	676673	764742	649881	902109	1060239	1149443	1135473	902237	558555	897961	896016	948407	821401	1045381	890555	931752	1130544	1131161	961286	1191349	995178	873295	1098015	1148985	1174791	948114	908754	1704975
"ME203779"	NA	NA	6060	2646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4355	NA	NA	NA	NA	NA
"ME203780"	27964	24736	16583	23635	63453	24500	17743	11562	7729	1956	7662	27675	5423	5127	6901	NA	33345	8796	8767	11063	2157	9554	NA	8608	13042	10246	1980	22569	12205	9870	2283	16295	7220
"ME203781"	4221	14703	6241	15025	3546	15792	6318	11440	NA	NA	2651	NA	NA	3803	NA	6640	NA	NA	6848	NA	14582	NA	3704	4192	NA	3376	NA	3959	3092	3686	9086	13591	NA
"ME203782"	NA	NA	NA	3467	NA	NA	NA	NA	NA	NA	2132	3074	NA	1571	NA	NA	1917	NA	2774	7062	1600	NA	NA	2047	NA	NA	1762	NA	NA	NA	NA	NA	NA
"ME203783"	20923	36784	36952	34481	42606	113869	NA	31479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203784"	859720	1375820	1269728	1095229	1341403	3192027	629234	1056772	79482	58025	132622	52026	157404	37711	80080	148652	143612	12249	90011	203766	83472	276867	27671	148432	NA	97021	67462	158639	13318	18728	24356	124134	84389
"ME203785"	33842	NA	19299	NA	57086	NA	NA	NA	46531	55068	64294	54798	15395	32322	36897	51113	99299	6099	34840	54298	32962	NA	53236	66717	55985	44814	57485	45640	48220	30025	55094	29834	68309
"ME203786"	20327	16771	NA	3675	14097	NA	6560	NA	6774	10995	25446	21501	16012	13807	19505	7266	34086	3740	20671	NA	17640	16689	15542	14592	28017	26074	21494	26643	6900	6771	20972	13008	16693
"ME203787"	NA	NA	96194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10139	18869	NA	NA	NA	NA	9090	NA	NA	NA	NA	NA	NA	NA	NA	NA	21866	NA
"ME203789"	65030	144646	145263	72256	50976	545233	65825	190929	10781	4355	NA	13568	NA	6657	9811	21588	22504	NA	7622	43066	NA	7439	NA	45902	23788	4076	8889	20898	1255	4271	13869	11390	6457
"ME203790"	NA	4358	2997	1189	5396	2709	NA	6421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3237	NA	NA	NA	NA	1224	NA	NA	NA	NA
"ME203788"	NA	NA	NA	NA	NA	13707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
