"S00026234"	"S00026235"	"S00026236"	"S00026237"	"S00026238"	"S00026239"	"S00026240"	"S00026241"	"S00026242"	"S00026243"	"S00026244"	"S00026245"	"S00026246"	"S00026247"	"S00026248"	"S00026249"	"S00026250"	"S00026251"	"S00026252"	"S00026253"	"S00026254"	"S00026255"	"S00026256"	"S00026257"	"S00026258"	"S00026259"	"S00026260"	"S00026261"	"S00026262"	"S00026263"	"S00026264"	"S00026265"	"S00026266"
"ME203671"	4647	6378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15044
"ME203672"	NA	NA	NA	NA	17592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203675"	791879	344893	605218	382262	239588	234512	787067	477749	991763	958004	999334	1156435	700061	500209	829673	579063	1208377	261719	1081609	980661	651251	994736	1226670	670005	787089	1067963	1040519	1046763	864459	903954	702630	1113919	1491673
"ME203676"	256958	144539	208405	167808	157262	149532	276992	206534	NA	333579	349479	408065	262395	194813	288877	275971	403462	36955	NA	95124	70042	NA	NA	233927	362848	326547	317600	348692	409885	386710	266197	337959	674582
"ME203673"	27500000	31400000	28800000	27200000	3.1e+07	23900000	26300000	23200000	34100000	32500000	32800000	36900000	32100000	16300000	32100000	24600000	33200000	8980481	39300000	33200000	28600000	34600000	33900000	3.3e+07	30700000	3.5e+07	33900000	29300000	30900000	3.2e+07	28600000	28500000	29800000
"ME203674"	552491	749598	767757	542475	826395	472263	488596	2744746	2087386	3178150	735038	3791152	1978836	2095169	2239434	3499335	677566	2256022	940457	2766410	3561811	3537679	3991408	1869080	2650170	1473299	2898317	3376453	3154925	3045508	3283412	564212	922815
"ME203677"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203678"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1643	NA	1096	NA	NA	NA	1348	NA	NA	1557	1344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203679"	NA	NA	NA	NA	18994	NA	17991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10783	NA
"ME203680"	NA	NA	16253	NA	NA	NA	NA	NA	8032	NA	7176	NA	16045	NA	14211	NA	NA	NA	NA	NA	5265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203681"	343847	333641	282491	357196	388546	305542	410926	287029	402461	213155	425681	368962	373822	214898	376752	410266	502501	80004	461646	208583	322713	451047	416266	319563	88204	459807	332633	471340	126304	136592	177361	429741	42297
"ME203682"	45199	40087	32545	44996	39256	54757	58218	48888	75194	32786	78863	67595	69585	47079	28381	73062	72065	18534	80194	23320	55388	79158	75200	52724	9261	75721	43266	79171	20106	33879	22989	63299	NA
"ME203666"	13589	15769	14716	14010	13038	26197	NA	19924	9355	6020	7673	6184	5148	NA	6677	5515	10805	NA	5838	NA	6203	8418	8913	9522	14641	8856	7960	11734	6595	9205	7066	13841	14577
"ME203667"	5369	2737	1636	1665	5898	NA	5914	NA	4378	3702	5591	7219	2202	7066	3149	NA	5236	6269	5412	NA	2942	5355	2395	NA	2800	4369	2992	3875	6445	5331	2355	NA	2566
"ME203668"	2835945	3207540	3382648	4009620	3914019	3746317	3722345	3972565	1661703	2173340	2524484	1856986	1282910	1032903	1656556	1575701	2380772	NA	1905696	2574053	2205591	2051567	1694276	3340935	2778358	2855461	1936218	2088450	3349883	3947401	2091981	3180165	2042876
"ME203669"	NA	NA	NA	NA	53503	NA	NA	NA	20713	28312	NA	NA	17256	NA	NA	NA	31985	NA	26358	NA	29622	NA	24343	48630	NA	39590	26229	NA	43715	52799	27246	42312	NA
"ME203670"	NA	NA	NA	4432	NA	3296	NA	NA	NA	NA	NA	NA	NA	NA	10940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203694"	1334319	2266297	1577006	1059308	1458976	797400	1182035	652525	274154	209102	475133	295303	475912	403681	340912	506558	498124	30554	548177	335654	421282	317383	297748	322224	261732	470705	253064	176645	101497	110957	399392	652564	78746
"ME203695"	2034425	3433308	2456359	1841448	2866139	907685	2266032	796590	319568	81953	885330	275863	398719	440158	348141	702365	722568	NA	400887	103406	228139	362944	445868	413775	63000	667945	101872	166062	51563	57618	162603	928608	13140
"ME203696"	NA	NA	NA	NA	NA	NA	NA	NA	NA	913311	NA	NA	NA	550984	NA	NA	986906	NA	1426502	1098240	1664369	2691629	NA	NA	1143759	NA	NA	105659	2282809	2081722	28186	1085911	2337350
"ME203697"	186354	10686	59461	22850	7798	18235	79772	64661	657634	552407	448008	581235	400482	292002	422234	117372	185653	22476	503712	360212	258408	519461	1080688	172867	494592	229987	246924	22322	387861	432797	329472	203459	367940
"ME203698"	NA	NA	NA	NA	2393	NA	NA	NA	NA	NA	NA	2310	NA	1033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203687"	NA	4925	NA	NA	NA	NA	NA	NA	11384	9482	NA	NA	8608	NA	NA	NA	NA	NA	11037	NA	9791	NA	18239	NA	9186	NA	15151	NA	NA	10234	NA	NA	14156
"ME203688"	NA	NA	NA	NA	NA	1781	NA	NA	NA	NA	4024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4253	NA	NA	NA	3495	NA	NA	NA	NA	NA	NA	NA
"ME203683"	NA	NA	7388	NA	NA	2485	7111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203689"	35342	16710	25916	17105	29377	NA	15257	5921	36121	77264	52501	78098	30828	6668	28568	25563	43752	13822	39069	14703	NA	NA	14282	NA	39258	31250	33388	54964	29048	26212	NA	NA	31894
"ME203684"	NA	3500	NA	NA	NA	8060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203685"	NA	NA	NA	NA	NA	2383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203686"	3732	19379	NA	NA	NA	12840	2174	NA	2416	NA	NA	5790	NA	NA	8140	NA	6345	NA	3000	NA	1996	1117	NA	NA	NA	7015	6233	NA	NA	NA	NA	8008	NA
"ME203690"	NA	NA	16450	NA	NA	NA	NA	NA	NA	9609	NA	NA	NA	NA	NA	NA	20933	NA	NA	16569	NA	NA	NA	NA	NA	NA	NA	13750	NA	NA	NA	NA	NA
"ME203691"	NA	NA	NA	NA	NA	NA	NA	NA	NA	5016	NA	NA	NA	NA	2630	NA	NA	NA	NA	NA	NA	2201	NA	NA	4406	NA	5374	NA	NA	NA	5025	NA	6303
"ME203692"	3274	8650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203693"	NA	NA	NA	NA	NA	NA	6323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203699"	NA	9063	10565	4995	NA	NA	15840	7640	NA	17835	4113	25202	7808	10251	7302	11842	NA	NA	14119	12123	9963	10244	NA	24267	15353	21269	17236	16137	NA	2705	13016	NA	23877
